source	Destination	Price	total cost
Phoenix, AZ	Louisville, KY	1075	
Phoenix, AZ	Indianapolis, IN	1071	
Phoenix, AZ	Charlotte, NC	1069	
Phoenix, AZ	Jacksonville, FL	1049	
Phoenix, AZ	Nashville, TN	1044	
Phoenix, AZ	Memphis, TN	952	
Phoenix, AZ	Houston, TX	790	
Phoenix, AZ	Dallas, TX	744	
Phoenix, AZ	Fort Worth, TX	731	
Phoenix, AZ	Austin, TX	719	
Phoenix, AZ	San Antonio, TX	709	
Phoenix, AZ	Oklahoma City, OK	691	
Phoenix, AZ	Denver, CO	665	
Phoenix, AZ	El Paso, TX	365	
Phoenix, AZ	Albuquerque, NM	284	
Phoenix, AZ	San Francisco, CA	277	
Phoenix, AZ	Fresno, CA	276	
Phoenix, AZ	San Jose, CA	266	
Phoenix, AZ	Las Vegas, NV	250	
Phoenix, AZ	Los Angeles, CA	139	
Phoenix, AZ	San Diego, CA	139	
Phoenix, AZ	Tucson, AZ	91	26678
Philadelphia, PA	Portland, OR	3325	
Philadelphia, PA	Seattle, WA	3220	
Philadelphia, PA	El Paso, TX	2668	
Philadelphia, PA	Las Vegas, NV	2594	
Philadelphia, PA	San Antonio, TX	2574	
Philadelphia, PA	Tucson, AZ	2573	
Philadelphia, PA	Phoenix, AZ	2537	
Philadelphia, PA	Albuquerque, NM	2521	
Philadelphia, PA	Austin, TX	2499	
Philadelphia, PA	Houston, TX	2379	
Philadelphia, PA	Denver, CO	2365	
Philadelphia, PA	San Francisco, CA	2245	
Philadelphia, PA	San Jose, CA	2242	
Philadelphia, PA	Fresno, CA	2203	
Philadelphia, PA	San Diego, CA	2147	
Philadelphia, PA	Los Angeles, CA	2133	
Philadelphia, PA	Fort Worth, TX	1860	
Philadelphia, PA	Oklahoma City, OK	1848	
Philadelphia, PA	Dallas, TX	1834	
Philadelphia, PA	Jacksonville, FL	1756	
Philadelphia, PA	Memphis, TN	1391	
Philadelphia, PA	Nashville, TN	1210	
Philadelphia, PA	Charlotte, NC	885	
Philadelphia, PA	Louisville, KY	838	
Philadelphia, PA	Milwaukee, WI	820	
Philadelphia, PA	Indianapolis, IN	814	
Philadelphia, PA	Detroit, MI	768	
Philadelphia, PA	Columbus, OH	585	
Philadelphia, PA	Chicago, IL	530	
Philadelphia, PA	Boston, MA	354	
Philadelphia, PA	Washington, DC	167	
Philadelphia, PA	Baltimore, MD	143	
Philadelphia, PA	New York, NY	124	56152
Oklahoma City, OK	Seattle, WA	1753	
Oklahoma City, OK	Portland, OR	1722	
Oklahoma City, OK	San Francisco, CA	1057	
Oklahoma City, OK	San Jose, CA	1039	
Oklahoma City, OK	Las Vegas, NV	1029	
Oklahoma City, OK	Boston, MA	1010	
Oklahoma City, OK	Fresno, CA	977	
Oklahoma City, OK	San Diego, CA	866	
Oklahoma City, OK	Los Angeles, CA	854	
Oklahoma City, OK	Denver, CO	843	
Oklahoma City, OK	Phoenix, AZ	830	
Oklahoma City, OK	Philadelphia, PA	815	
Oklahoma City, OK	Jacksonville, FL	798	
Oklahoma City, OK	Washington, DC	798	
Oklahoma City, OK	Baltimore, MD	797	
Oklahoma City, OK	Tucson, AZ	767	
Oklahoma City, OK	Charlotte, NC	759	
Oklahoma City, OK	New York, NY	701	
Oklahoma City, OK	Detroit, MI	683	
Oklahoma City, OK	Milwaukee, WI	616	
Oklahoma City, OK	Louisville, KY	605	
Oklahoma City, OK	Columbus, OH	580	
Oklahoma City, OK	Nashville, TN	559	
Oklahoma City, OK	Indianapolis, IN	551	
Oklahoma City, OK	El Paso, TX	514	
Oklahoma City, OK	Chicago, IL	482	
Oklahoma City, OK	San Antonio, TX	454	
Oklahoma City, OK	Albuquerque, NM	446	
Oklahoma City, OK	Houston, TX	389	
